Experiment	bias spectroscopy	
Date	14.01.2016 15:19:44	
User		
X (m)	0E+0	
Y (m)	0E+0	
Z (m)	300E-9	
Z offset (m)	0E+0	
Settling time (s)	5E-3	
Integration time (s)	1E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	300E-9	
Filter type	Gaussian	
Order	6	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Current [bwd] (A)	Current (A) [filt]	Current (A) [bwd] [filt]
-55.8500E+0	311.972E-12	355.639E-12	305.430E-12	358.022E-12
-55.9000E+0	323.120E-12	370.709E-12	313.815E-12	365.965E-12
-55.9500E+0	323.987E-12	382.116E-12	321.853E-12	374.066E-12
-56.0000E+0	327.786E-12	382.873E-12	329.452E-12	382.212E-12
-56.0500E+0	336.657E-12	386.905E-12	335.917E-12	390.554E-12
-56.1000E+0	344.577E-12	398.010E-12	342.930E-12	398.676E-12
-56.1500E+0	343.795E-12	401.764E-12	349.930E-12	406.862E-12
-56.2000E+0	355.176E-12	409.253E-12	357.203E-12	415.445E-12
-56.2500E+0	364.358E-12	425.445E-12	364.607E-12	424.004E-12
-56.3000E+0	354.675E-12	432.269E-12	372.767E-12	432.989E-12
-56.3500E+0	380.764E-12	441.488E-12	381.241E-12	442.132E-12
-56.4000E+0	398.364E-12	450.143E-12	389.969E-12	451.489E-12
-56.4500E+0	400.985E-12	462.469E-12	398.970E-12	460.945E-12
-56.5000E+0	409.002E-12	471.216E-12	408.563E-12	470.926E-12
-56.5500E+0	414.398E-12	479.757E-12	418.120E-12	481.131E-12
-56.6000E+0	428.631E-12	495.663E-12	427.941E-12	491.370E-12
-56.6500E+0	434.454E-12	495.178E-12	438.501E-12	502.470E-12
-56.7000E+0	445.364E-12	504.907E-12	448.495E-12	513.850E-12
-56.7500E+0	456.433E-12	518.857E-12	458.346E-12	525.687E-12
-56.8000E+0	470.190E-12	537.008E-12	468.347E-12	537.773E-12
-56.8500E+0	478.174E-12	548.660E-12	478.380E-12	550.180E-12
-56.9000E+0	492.111E-12	560.772E-12	488.621E-12	562.686E-12
-56.9500E+0	503.506E-12	584.353E-12	497.750E-12	574.967E-12
-57.0000E+0	510.800E-12	590.951E-12	506.592E-12	588.000E-12
-57.0500E+0	518.887E-12	603.256E-12	515.058E-12	601.027E-12
-57.1000E+0	523.483E-12	613.763E-12	523.148E-12	614.084E-12
-57.1500E+0	534.073E-12	625.213E-12	530.963E-12	627.264E-12
-57.2000E+0	548.794E-12	633.761E-12	538.692E-12	640.083E-12
-57.2500E+0	536.398E-12	643.441E-12	546.300E-12	652.918E-12
-57.3000E+0	545.675E-12	668.167E-12	554.274E-12	665.630E-12
-57.3500E+0	557.715E-12	680.856E-12	562.606E-12	678.652E-12
-57.4000E+0	567.727E-12	697.256E-12	570.346E-12	691.750E-12
-57.4500E+0	579.678E-12	715.933E-12	578.198E-12	705.085E-12
-57.5000E+0	587.890E-12	713.043E-12	586.285E-12	718.706E-12
-57.5500E+0	597.320E-12	725.250E-12	595.358E-12	732.573E-12
-57.6000E+0	613.546E-12	742.996E-12	605.885E-12	746.792E-12
-57.6500E+0	621.960E-12	756.445E-12	617.025E-12	761.077E-12
-57.7000E+0	606.582E-12	770.810E-12	628.697E-12	775.802E-12
-57.7500E+0	615.649E-12	788.430E-12	641.034E-12	791.225E-12
-57.8000E+0	634.756E-12	807.202E-12	654.234E-12	807.166E-12
-57.8500E+0	673.001E-12	820.816E-12	668.114E-12	824.128E-12
-57.9000E+0	692.773E-12	838.095E-12	682.510E-12	841.379E-12
-57.9500E+0	706.762E-12	857.257E-12	697.754E-12	858.942E-12
-58.0000E+0	716.845E-12	872.363E-12	713.222E-12	876.935E-12
-58.0500E+0	727.246E-12	897.238E-12	729.530E-12	895.250E-12
-58.1000E+0	745.150E-12	916.311E-12	746.044E-12	913.808E-12
-58.1500E+0	756.213E-12	932.382E-12	762.280E-12	932.885E-12
-58.2000E+0	769.378E-12	946.829E-12	777.792E-12	952.292E-12
-58.2500E+0	801.004E-12	968.551E-12	793.885E-12	971.850E-12
-58.3000E+0	808.398E-12	989.444E-12	810.051E-12	991.548E-12
-58.3500E+0	821.335E-12	1.00902E-9	826.462E-12	1.01148E-9
-58.4000E+0	844.775E-12	1.02974E-9	843.012E-12	1.03058E-9
-58.4500E+0	860.363E-12	1.05793E-9	860.161E-12	1.04968E-9
-58.5000E+0	874.957E-12	1.07453E-9	877.289E-12	1.06898E-9
-58.5500E+0	903.198E-12	1.09134E-9	894.411E-12	1.08834E-9
-58.6000E+0	909.732E-12	1.11074E-9	911.431E-12	1.10772E-9
-58.6500E+0	922.628E-12	1.13024E-9	929.154E-12	1.12728E-9
-58.7000E+0	937.317E-12	1.13206E-9	947.189E-12	1.14712E-9
-58.7500E+0	972.244E-12	1.15616E-9	964.384E-12	1.16732E-9
-58.8000E+0	980.536E-12	1.18403E-9	981.737E-12	1.18786E-9
-58.8500E+0	994.845E-12	1.20523E-9	998.950E-12	1.20913E-9
-58.9000E+0	1.02118E-9	1.23061E-9	1.01585E-9	1.23093E-9
-58.9500E+0	1.04378E-9	1.25457E-9	1.03115E-9	1.25341E-9
-59.0000E+0	1.06103E-9	1.27628E-9	1.04811E-9	1.27654E-9
-59.0500E+0	1.05729E-9	1.29825E-9	1.06513E-9	1.30085E-9
-59.1000E+0	1.07944E-9	1.32357E-9	1.08227E-9	1.32547E-9
-59.1500E+0	1.09390E-9	1.34680E-9	1.10114E-9	1.35057E-9
-59.2000E+0	1.11626E-9	1.36732E-9	1.11813E-9	1.37600E-9
-59.2500E+0	1.08744E-9	1.39653E-9	1.13730E-9	1.40187E-9
-59.3000E+0	1.16453E-9	1.42545E-9	1.15750E-9	1.42830E-9
-59.3500E+0	1.18268E-9	1.45555E-9	1.17870E-9	1.45528E-9
