Experiment	CLAMPoints-dat	
Date	04.05.2016 18:50:04	
User		
X (m)	-2.000000E-7	
Y (m)	-2.000000E-7	
Tip Information	Tip  (  )	
Sample material		
CLAM Mode	0	
Pass Energy (eV)	100.000000	
Retarding Ratio	10.000000	
Focus Mode	1	
Focus (%)	0.600000	
Channeltron front (V)	200.000000	
Channeltron rear (V)	3600.000000	
Integration Time (ms)	100.000000	

[DATA]
Energy (eV)	Current (A)	Counter 2 (cps)	Bias (V)	Z (m)
22.0000E+0	-49.4229E-9	50.0000E+0	-85.4000E+0	-187.000E-9
22.2000E+0	-49.4228E-9	50.0000E+0	-85.4000E+0	-187.000E-9
22.4000E+0	-49.4229E-9	100.000E+0	-85.4000E+0	-187.000E-9
22.6000E+0	-49.4230E-9	150.000E+0	-85.4000E+0	-187.000E-9
22.8000E+0	-49.4232E-9	50.0000E+0	-85.4000E+0	-187.000E-9
23.0000E+0	-49.4231E-9	100.000E+0	-85.4000E+0	-187.000E-9
23.2000E+0	-49.4231E-9	200.000E+0	-85.4000E+0	-187.000E-9
23.4000E+0	-49.4231E-9	150.000E+0	-85.4000E+0	-187.000E-9
23.6000E+0	-49.4233E-9	250.000E+0	-85.4000E+0	-187.000E-9
23.8000E+0	-49.4232E-9	100.000E+0	-85.4000E+0	-187.000E-9
24.0000E+0	-49.4231E-9	0.00000E+0	-85.4000E+0	-187.000E-9
24.2000E+0	-49.4232E-9	150.000E+0	-85.4000E+0	-187.000E-9
24.4000E+0	-49.4231E-9	0.00000E+0	-85.4000E+0	-187.000E-9
24.6000E+0	-23.8840E-9	0.00000E+0	-85.4000E+0	-187.000E-9
24.8000E+0	-15.9596E-9	0.00000E+0	-85.4000E+0	-187.000E-9
25.0000E+0	-43.4600E-9	100.000E+0	-85.4000E+0	-187.000E-9
25.2000E+0	-49.4233E-9	0.00000E+0	-85.4000E+0	-187.000E-9
25.4000E+0	-49.4233E-9	0.00000E+0	-85.4000E+0	-187.000E-9
25.6000E+0	-49.4231E-9	100.000E+0	-85.4000E+0	-187.000E-9
25.8000E+0	-49.4232E-9	50.0000E+0	-85.4000E+0	-187.000E-9
26.0000E+0	-49.4231E-9	100.000E+0	-85.4000E+0	-187.000E-9
26.2000E+0	-49.4230E-9	100.000E+0	-85.4000E+0	-187.000E-9
26.4000E+0	-49.4228E-9	0.00000E+0	-85.4000E+0	-187.000E-9
26.6000E+0	-49.4231E-9	0.00000E+0	-85.4000E+0	-187.000E-9
26.8000E+0	-49.4232E-9	50.0000E+0	-85.4000E+0	-187.000E-9
27.0000E+0	-49.4231E-9	0.00000E+0	-85.4000E+0	-187.000E-9
27.2000E+0	-49.4232E-9	50.0000E+0	-85.4000E+0	-187.000E-9
27.4000E+0	-49.4229E-9	0.00000E+0	-85.4000E+0	-187.000E-9
27.6000E+0	-49.4231E-9	50.0000E+0	-85.4000E+0	-187.000E-9
