Experiment	CLAMPoints-dat	
Date	14.06.2016 18:06:47	
User	Danilo	
X (m)	8.394886E-8	
Y (m)	-3.323447E-8	
Tip Information	Tip  (  )	
Sample material		
CLAM Mode	0	
Pass Energy (eV)	50.000000	
Retarding Ratio	10.000000	
Focus Mode	1	
Focus (%)	0.600000	
Channeltron front (V)	200.000000	
Channeltron rear (V)	3600.000000	
Integration Time (ms)	100.000000
loops	1

[DATA]
Energy (eV)	Current (A)	CLAM ctr (cp int.time)	Bias (V)	Z (m)
36.7500E+0	-450.215E-9	47.0000E+0	-99.4000E+0	-100.000E-9
37.0000E+0	-447.460E-9	55.0000E+0	-99.4000E+0	-100.000E-9
37.0000E+0	-449.314E-9	46.0000E+0	-99.4000E+0	-100.000E-9
37.2500E+0	-447.611E-9	50.0000E+0	-99.4000E+0	-100.000E-9
37.2500E+0	-449.419E-9	58.0000E+0	-99.4000E+0	-100.000E-9
37.5000E+0	-448.940E-9	43.0000E+0	-99.4000E+0	-100.000E-9
37.5000E+0	-450.236E-9	47.0000E+0	-99.4000E+0	-100.000E-9
37.7500E+0	-446.638E-9	41.0000E+0	-99.4000E+0	-100.000E-9
37.7500E+0	-448.569E-9	54.0000E+0	-99.4000E+0	-100.000E-9
38.0000E+0	-448.630E-9	44.0000E+0	-99.4000E+0	-100.000E-9
38.0000E+0	-448.218E-9	57.0000E+0	-99.4000E+0	-100.000E-9
38.2500E+0	-447.048E-9	51.0000E+0	-99.4000E+0	-100.000E-9
38.2500E+0	-448.777E-9	56.0000E+0	-99.4000E+0	-100.000E-9
38.5000E+0	-449.376E-9	52.0000E+0	-99.4000E+0	-100.000E-9
38.5000E+0	-444.822E-9	49.0000E+0	-99.4000E+0	-100.000E-9
38.7500E+0	-448.224E-9	38.0000E+0	-99.4000E+0	-100.000E-9
38.7500E+0	-446.201E-9	51.0000E+0	-99.4000E+0	-100.000E-9
39.0000E+0	-447.500E-9	55.0000E+0	-99.4000E+0	-100.000E-9
39.0000E+0	-447.522E-9	38.0000E+0	-99.4000E+0	-100.000E-9
39.2500E+0	-447.652E-9	45.0000E+0	-99.4000E+0	-100.000E-9
39.2500E+0	-448.076E-9	55.0000E+0	-99.4000E+0	-100.000E-9
39.5000E+0	-447.271E-9	53.0000E+0	-99.4000E+0	-100.000E-9
39.5000E+0	-448.326E-9	47.0000E+0	-99.4000E+0	-100.000E-9
39.7500E+0	-447.115E-9	50.0000E+0	-99.4000E+0	-100.000E-9
39.7500E+0	-448.675E-9	50.0000E+0	-99.4000E+0	-100.000E-9
40.0000E+0	-447.947E-9	56.0000E+0	-99.4000E+0	-100.000E-9
40.0000E+0	-445.959E-9	43.0000E+0	-99.4000E+0	-100.000E-9
40.2500E+0	-446.650E-9	65.0000E+0	-99.4000E+0	-100.000E-9
40.2500E+0	-447.889E-9	58.0000E+0	-99.4000E+0	-100.000E-9
40.5000E+0	-446.561E-9	55.0000E+0	-99.4000E+0	-100.000E-9
40.5000E+0	-445.204E-9	64.0000E+0	-99.4000E+0	-100.000E-9
40.7500E+0	-444.141E-9	51.0000E+0	-99.4000E+0	-100.000E-9
40.7500E+0	-446.703E-9	57.0000E+0	-99.4000E+0	-100.000E-9
41.0000E+0	-443.232E-9	59.0000E+0	-99.4000E+0	-100.000E-9
41.0000E+0	-442.874E-9	56.0000E+0	-99.4000E+0	-100.000E-9
41.2500E+0	-444.083E-9	50.0000E+0	-99.4000E+0	-100.000E-9
41.2500E+0	-443.031E-9	69.0000E+0	-99.4000E+0	-100.000E-9
41.5000E+0	-445.050E-9	41.0000E+0	-99.4000E+0	-100.000E-9
41.5000E+0	-443.533E-9	51.0000E+0	-99.4000E+0	-100.000E-9
41.7500E+0	-444.318E-9	65.0000E+0	-99.4000E+0	-100.000E-9
41.7500E+0	-443.930E-9	49.0000E+0	-99.4000E+0	-100.000E-9
42.0000E+0	-443.568E-9	67.0000E+0	-99.4000E+0	-100.000E-9
42.0000E+0	-446.046E-9	62.0000E+0	-99.4000E+0	-100.000E-9
42.2500E+0	-444.606E-9	56.0000E+0	-99.4000E+0	-100.000E-9
42.2500E+0	-443.313E-9	50.0000E+0	-99.4000E+0	-100.000E-9
42.5000E+0	-443.339E-9	51.0000E+0	-99.4000E+0	-100.000E-9
42.5000E+0	-443.413E-9	56.0000E+0	-99.4000E+0	-100.000E-9
42.7500E+0	-446.394E-9	54.0000E+0	-99.4000E+0	-100.000E-9
42.7500E+0	-445.015E-9	53.0000E+0	-99.4000E+0	-100.000E-9
43.0000E+0	-443.838E-9	45.0000E+0	-99.4000E+0	-100.000E-9
43.0000E+0	-442.673E-9	55.0000E+0	-99.4000E+0	-100.000E-9
43.2500E+0	-442.772E-9	66.0000E+0	-99.4000E+0	-100.000E-9
43.2500E+0	-441.987E-9	58.0000E+0	-99.4000E+0	-100.000E-9
43.5000E+0	-443.803E-9	61.0000E+0	-99.4000E+0	-100.000E-9
43.5000E+0	-442.582E-9	45.0000E+0	-99.4000E+0	-100.000E-9
43.7500E+0	-445.539E-9	62.0000E+0	-99.4000E+0	-100.000E-9
43.7500E+0	-442.399E-9	55.0000E+0	-99.4000E+0	-100.000E-9
44.0000E+0	-443.817E-9	62.0000E+0	-99.4000E+0	-100.000E-9
44.0000E+0	-445.071E-9	65.0000E+0	-99.4000E+0	-100.000E-9
44.2500E+0	-445.264E-9	57.0000E+0	-99.4000E+0	-100.000E-9
44.2500E+0	-444.659E-9	67.0000E+0	-99.4000E+0	-100.000E-9
44.5000E+0	-442.117E-9	62.0000E+0	-99.4000E+0	-100.000E-9
44.5000E+0	-444.096E-9	60.0000E+0	-99.4000E+0	-100.000E-9
44.7500E+0	-441.596E-9	61.0000E+0	-99.4000E+0	-100.000E-9
44.7500E+0	-442.331E-9	47.0000E+0	-99.4000E+0	-100.000E-9
45.0000E+0	-444.646E-9	64.0000E+0	-99.4000E+0	-100.000E-9
45.0000E+0	-443.819E-9	35.0000E+0	-99.4000E+0	-100.000E-9
45.2500E+0	-443.604E-9	44.0000E+0	-99.4000E+0	-100.000E-9
45.2500E+0	-443.454E-9	70.0000E+0	-99.4000E+0	-100.000E-9
45.5000E+0	-445.217E-9	55.0000E+0	-99.4000E+0	-100.000E-9
45.5000E+0	-442.145E-9	67.0000E+0	-99.4000E+0	-100.000E-9
45.7500E+0	-441.437E-9	43.0000E+0	-99.4000E+0	-100.000E-9
45.7500E+0	-443.187E-9	76.0000E+0	-99.4000E+0	-100.000E-9
46.0000E+0	-441.532E-9	65.0000E+0	-99.4000E+0	-100.000E-9
46.0000E+0	-442.855E-9	58.0000E+0	-99.4000E+0	-100.000E-9
46.2500E+0	-443.178E-9	60.0000E+0	-99.4000E+0	-100.000E-9
46.2500E+0	-444.822E-9	51.0000E+0	-99.4000E+0	-100.000E-9
46.5000E+0	-441.112E-9	53.0000E+0	-99.4000E+0	-100.000E-9
46.5000E+0	-444.568E-9	58.0000E+0	-99.4000E+0	-100.000E-9
46.7500E+0	-443.171E-9	58.0000E+0	-99.4000E+0	-100.000E-9
46.7500E+0	-443.602E-9	50.0000E+0	-99.4000E+0	-100.000E-9
47.0000E+0	-441.720E-9	65.0000E+0	-99.4000E+0	-100.000E-9
47.0000E+0	-441.073E-9	50.0000E+0	-99.4000E+0	-100.000E-9
47.2500E+0	-441.894E-9	47.0000E+0	-99.4000E+0	-100.000E-9
47.2500E+0	-442.716E-9	59.0000E+0	-99.4000E+0	-100.000E-9
47.5000E+0	-443.010E-9	60.0000E+0	-99.4000E+0	-100.000E-9
47.5000E+0	-442.899E-9	52.0000E+0	-99.4000E+0	-100.000E-9
47.7500E+0	-442.886E-9	66.0000E+0	-99.4000E+0	-100.000E-9
47.7500E+0	-441.356E-9	64.0000E+0	-99.4000E+0	-100.000E-9
48.0000E+0	-439.642E-9	53.0000E+0	-99.4000E+0	-100.000E-9
48.0000E+0	-440.436E-9	60.0000E+0	-99.4000E+0	-100.000E-9
48.2500E+0	-440.450E-9	51.0000E+0	-99.4000E+0	-100.000E-9
48.2500E+0	-440.025E-9	59.0000E+0	-99.4000E+0	-100.000E-9
48.5000E+0	-442.537E-9	57.0000E+0	-99.4000E+0	-100.000E-9
48.5000E+0	-439.956E-9	55.0000E+0	-99.4000E+0	-100.000E-9
48.7500E+0	-443.620E-9	54.0000E+0	-99.4000E+0	-100.000E-9
48.7500E+0	-439.349E-9	57.0000E+0	-99.4000E+0	-100.000E-9
49.0000E+0	-441.241E-9	56.0000E+0	-99.4000E+0	-100.000E-9
49.0000E+0	-439.932E-9	71.0000E+0	-99.4000E+0	-100.000E-9
49.2500E+0	-439.247E-9	49.0000E+0	-99.4000E+0	-100.000E-9
49.2500E+0	-440.577E-9	57.0000E+0	-99.4000E+0	-100.000E-9
49.5000E+0	-440.141E-9	52.0000E+0	-99.4000E+0	-100.000E-9
49.5000E+0	-438.096E-9	49.0000E+0	-99.4000E+0	-100.000E-9
49.7500E+0	-440.561E-9	64.0000E+0	-99.4000E+0	-100.000E-9
49.7500E+0	-441.817E-9	55.0000E+0	-99.4000E+0	-100.000E-9
50.0000E+0	-437.821E-9	54.0000E+0	-99.4000E+0	-100.000E-9
50.0000E+0	-439.505E-9	73.0000E+0	-99.4000E+0	-100.000E-9
50.2500E+0	-437.996E-9	60.0000E+0	-99.4000E+0	-100.000E-9
50.2500E+0	-438.087E-9	61.0000E+0	-99.4000E+0	-100.000E-9
50.5000E+0	-439.097E-9	62.0000E+0	-99.4000E+0	-100.000E-9
50.5000E+0	-437.618E-9	56.0000E+0	-99.4000E+0	-100.000E-9
50.7500E+0	-439.043E-9	69.0000E+0	-99.4000E+0	-100.000E-9
50.7500E+0	-439.404E-9	44.0000E+0	-99.4000E+0	-100.000E-9
51.0000E+0	-437.738E-9	49.0000E+0	-99.4000E+0	-100.000E-9
51.0000E+0	-437.323E-9	57.0000E+0	-99.4000E+0	-100.000E-9
51.2500E+0	-437.884E-9	65.0000E+0	-99.4000E+0	-100.000E-9
