Experiment	myLongTerm	
Date	28.01.2016 13:44:25	
User	Danilo	
Tip Information		
Sample material		

[DATA]
Time (s)	Current (A)	Counter 1 (cps)	Bias (V)	Z (m)
7.40000E+0	-317.746E-12	0.00000E+0	-7.00000E+0	-54.0123E-9
7.50000E+0	-322.622E-12	0.00000E+0	-7.00000E+0	-54.0131E-9
7.60000E+0	-326.543E-12	0.00000E+0	-7.00000E+0	-54.0139E-9
7.70000E+0	-312.795E-12	0.00000E+0	-7.00000E+0	-54.0130E-9
7.79999E+0	-327.726E-12	0.00000E+0	-7.00000E+0	-54.0118E-9
7.89999E+0	-319.745E-12	0.00000E+0	-7.00000E+0	-54.0099E-9
7.99999E+0	-322.431E-12	0.00000E+0	-7.00000E+0	-54.0109E-9
8.09999E+0	-332.494E-12	0.00000E+0	-7.00000E+0	-54.0126E-9
8.20000E+0	-317.357E-12	0.00000E+0	-7.00000E+0	-54.0138E-9
8.30000E+0	-345.647E-12	0.00000E+0	-7.00000E+0	-54.0156E-9
8.40000E+0	-337.331E-12	0.00000E+0	-7.00000E+0	-54.0137E-9
8.50000E+0	-323.087E-12	0.00000E+0	-7.00000E+0	-54.0119E-9
8.60000E+0	-317.075E-12	0.00000E+0	-7.00000E+0	-54.0106E-9
8.70000E+0	-329.564E-12	0.00000E+0	-7.00000E+0	-54.0106E-9
8.80000E+0	-318.670E-12	0.00000E+0	-7.00000E+0	-54.0115E-9
8.90000E+0	-328.336E-12	0.00000E+0	-7.00000E+0	-54.0146E-9
9.00000E+0	-318.601E-12	0.00000E+0	-7.00000E+0	-54.0146E-9
9.10000E+0	-325.681E-12	0.00000E+0	-7.00000E+0	-54.0138E-9
9.20000E+0	-319.501E-12	0.00000E+0	-7.00000E+0	-54.0115E-9
9.30000E+0	-330.259E-12	0.00000E+0	-7.00000E+0	-54.0107E-9
9.40000E+0	-313.749E-12	0.00000E+0	-7.00000E+0	-54.0099E-9
9.50000E+0	-313.588E-12	0.00000E+0	-7.00000E+0	-54.0111E-9
9.60000E+0	-331.968E-12	0.00000E+0	-7.00000E+0	-54.0154E-9
9.70000E+0	-328.748E-12	0.00000E+0	-7.00000E+0	-54.0149E-9
9.80000E+0	-331.586E-12	0.00000E+0	-7.00000E+0	-54.0133E-9
9.90000E+0	-332.120E-12	0.00000E+0	-7.00000E+0	-54.0131E-9
10.0000E+0	-340.856E-12	0.00000E+0	-7.00000E+0	-54.0120E-9
10.1000E+0	-343.984E-12	0.00000E+0	-7.00000E+0	-54.0117E-9
10.2000E+0	-327.268E-12	0.00000E+0	-7.00000E+0	-54.0124E-9
10.3000E+0	-317.479E-12	0.00000E+0	-7.00000E+0	-54.0126E-9
10.4000E+0	-324.102E-12	0.00000E+0	-7.00000E+0	-54.0144E-9
10.5000E+0	-327.489E-12	0.00000E+0	-7.00000E+0	-54.0149E-9
10.6000E+0	-325.712E-12	0.00000E+0	-7.00000E+0	-54.0119E-9
10.7000E+0	-322.477E-12	0.00000E+0	-7.00000E+0	-54.0127E-9
10.8000E+0	-321.462E-12	0.00000E+0	-7.00000E+0	-54.0124E-9
10.9000E+0	-313.337E-12	0.00000E+0	-7.00000E+0	-54.0118E-9
11.0000E+0	-333.127E-12	0.00000E+0	-7.00000E+0	-54.0134E-9
11.1000E+0	-319.745E-12	0.00000E+0	-7.00000E+0	-54.0134E-9
11.2000E+0	-330.045E-12	0.00000E+0	-7.00000E+0	-54.0133E-9
11.3000E+0	-314.611E-12	0.00000E+0	-7.00000E+0	-54.0123E-9
11.4000E+0	-329.191E-12	0.00000E+0	-7.00000E+0	-54.0122E-9
11.5000E+0	-323.087E-12	0.00000E+0	-7.00000E+0	-54.0118E-9
11.6000E+0	-318.075E-12	0.00000E+0	-7.00000E+0	-54.0127E-9
11.7000E+0	-323.095E-12	0.00000E+0	-7.00000E+0	-54.0138E-9
11.8000E+0	-327.970E-12	0.00000E+0	-7.00000E+0	-54.0136E-9
11.9000E+0	-322.545E-12	0.00000E+0	-7.00000E+0	-54.0132E-9
12.0000E+0	-339.086E-12	0.00000E+0	-7.00000E+0	-54.0140E-9
12.1000E+0	-317.006E-12	0.00000E+0	-7.00000E+0	-54.0121E-9
12.2000E+0	-315.893E-12	0.00000E+0	-7.00000E+0	-54.0123E-9
12.3000E+0	-321.882E-12	0.00000E+0	-7.00000E+0	-54.0135E-9
12.4000E+0	-328.000E-12	0.00000E+0	-7.00000E+0	-54.0130E-9
12.5000E+0	-316.358E-12	0.00000E+0	-7.00000E+0	-54.0121E-9
12.6000E+0	-321.470E-12	0.00000E+0	-7.00000E+0	-54.0137E-9
12.7000E+0	-342.985E-12	0.00000E+0	-7.00000E+0	-54.0141E-9
12.8000E+0	-323.972E-12	0.00000E+0	-7.00000E+0	-54.0135E-9
12.9000E+0	-315.961E-12	0.00000E+0	-7.00000E+0	-54.0139E-9
13.0000E+0	-313.848E-12	0.00000E+0	-7.00000E+0	-54.0113E-9
13.1000E+0	-326.726E-12	0.00000E+0	-7.00000E+0	-54.0127E-9
13.2000E+0	-326.322E-12	0.00000E+0	-7.00000E+0	-54.0135E-9
13.3000E+0	-314.832E-12	0.00000E+0	-7.00000E+0	-54.0124E-9
13.4000E+0	-338.773E-12	0.00000E+0	-7.00000E+0	-54.0150E-9
13.5000E+0	-327.588E-12	0.00000E+0	-7.00000E+0	-54.0131E-9
13.6000E+0	-312.688E-12	0.00000E+0	-7.00000E+0	-54.0126E-9
13.7000E+0	-322.004E-12	0.00000E+0	-7.00000E+0	-54.0139E-9
13.8000E+0	-334.211E-12	0.00000E+0	-7.00000E+0	-54.0139E-9
13.9000E+0	-330.999E-12	0.00000E+0	-7.00000E+0	-54.0143E-9
14.0000E+0	-326.726E-12	0.00000E+0	-7.00000E+0	-54.0142E-9
14.1000E+0	-326.978E-12	0.00000E+0	-7.00000E+0	-54.0158E-9
14.2000E+0	-332.700E-12	0.00000E+0	-7.00000E+0	-54.0149E-9
14.3000E+0	-324.697E-12	0.00000E+0	-7.00000E+0	-54.0146E-9
14.4000E+0	-326.101E-12	0.00000E+0	-7.00000E+0	-54.0130E-9
14.5000E+0	-321.004E-12	0.00000E+0	-7.00000E+0	-54.0115E-9
14.6000E+0	-338.109E-12	0.00000E+0	-7.00000E+0	-54.0141E-9
14.7000E+0	-333.478E-12	0.00000E+0	-7.00000E+0	-54.0143E-9
14.8000E+0	-320.615E-12	0.00000E+0	-7.00000E+0	-54.0128E-9
14.9000E+0	-333.936E-12	0.00000E+0	-7.00000E+0	-54.0153E-9
15.0000E+0	-323.484E-12	0.00000E+0	-7.00000E+0	-54.0154E-9
15.1000E+0	-324.498E-12	0.00000E+0	-7.00000E+0	-54.0145E-9
15.2000E+0	-324.598E-12	0.00000E+0	-7.00000E+0	-54.0129E-9
15.3000E+0	-332.738E-12	0.00000E+0	-7.00000E+0	-54.0147E-9
15.4000E+0	-342.298E-12	0.00000E+0	-7.00000E+0	-54.0146E-9
15.5000E+0	-325.200E-12	0.00000E+0	-7.00000E+0	-54.0141E-9
15.6000E+0	-329.572E-12	0.00000E+0	-7.00000E+0	-54.0138E-9
15.7000E+0	-313.863E-12	0.00000E+0	-7.00000E+0	-54.0134E-9
15.8000E+0	-323.751E-12	0.00000E+0	-7.00000E+0	-54.0151E-9
15.9000E+0	-322.950E-12	0.00000E+0	-7.00000E+0	-54.0129E-9
16.0000E+0	-336.728E-12	0.00000E+0	-7.00000E+0	-54.0135E-9
16.1000E+0	-329.076E-12	0.00000E+0	-7.00000E+0	-54.0138E-9
16.2000E+0	-323.865E-12	0.00000E+0	-7.00000E+0	-54.0136E-9
16.3000E+0	-320.264E-12	0.00000E+0	-7.00000E+0	-54.0146E-9
16.4000E+0	-328.351E-12	0.00000E+0	-7.00000E+0	-54.0143E-9
16.5000E+0	-324.437E-12	0.00000E+0	-7.00000E+0	-54.0110E-9
16.6000E+0	-323.507E-12	0.00000E+0	-7.00000E+0	-54.0113E-9
16.7000E+0	-330.610E-12	0.00000E+0	-7.00000E+0	-54.0125E-9
16.8000E+0	-332.036E-12	0.00000E+0	-7.00000E+0	-54.0138E-9
16.9000E+0	-325.719E-12	0.00000E+0	-7.00000E+0	-54.0140E-9
17.0000E+0	-319.600E-12	0.00000E+0	-7.00000E+0	-54.0137E-9
17.1000E+0	-332.731E-12	0.00000E+0	-7.00000E+0	-54.0128E-9
17.2000E+0	-339.238E-12	0.00000E+0	-7.00000E+0	-54.0122E-9
17.3000E+0	-311.902E-12	0.00000E+0	-7.00000E+0	-54.0111E-9
17.4000E+0	-322.828E-12	0.00000E+0	-7.00000E+0	-54.0130E-9
17.5000E+0	-320.249E-12	0.00000E+0	-7.00000E+0	-54.0135E-9
17.6000E+0	-334.775E-12	0.00000E+0	-7.00000E+0	-54.0149E-9
17.7000E+0	-327.749E-12	0.00000E+0	-7.00000E+0	-54.0154E-9
17.8000E+0	-334.897E-12	0.00000E+0	-7.00000E+0	-54.0135E-9
17.9000E+0	-344.732E-12	0.00000E+0	-7.00000E+0	-54.0127E-9
18.0000E+0	-327.535E-12	0.00000E+0	-7.00000E+0	-54.0097E-9
18.1000E+0	-335.584E-12	0.00000E+0	-7.00000E+0	-54.0115E-9
18.2000E+0	-328.077E-12	0.00000E+0	-7.00000E+0	-54.0128E-9
18.3000E+0	-334.554E-12	0.00000E+0	-7.00000E+0	-54.0139E-9
18.4000E+0	-338.758E-12	0.00000E+0	-7.00000E+0	-54.0140E-9
18.5000E+0	-328.893E-12	0.00000E+0	-7.00000E+0	-54.0121E-9
18.6000E+0	-324.697E-12	0.00000E+0	-7.00000E+0	-54.0099E-9
18.7000E+0	-323.240E-12	0.00000E+0	-7.00000E+0	-54.0105E-9
18.8000E+0	-329.023E-12	0.00000E+0	-7.00000E+0	-54.0114E-9
18.9000E+0	-321.302E-12	0.00000E+0	-7.00000E+0	-54.0108E-9
19.0000E+0	-328.481E-12	0.00000E+0	-7.00000E+0	-54.0119E-9
19.1000E+0	-337.873E-12	0.00000E+0	-7.00000E+0	-54.0142E-9
19.2000E+0	-325.437E-12	0.00000E+0	-7.00000E+0	-54.0132E-9
19.3000E+0	-328.618E-12	0.00000E+0	-7.00000E+0	-54.0114E-9
19.4000E+0	-319.257E-12	0.00000E+0	-7.00000E+0	-54.0095E-9
19.5000E+0	-325.696E-12	0.00000E+0	-7.00000E+0	-54.0130E-9
19.6000E+0	-324.346E-12	0.00000E+0	-7.00000E+0	-54.0118E-9
19.7000E+0	-321.966E-12	0.00000E+0	-7.00000E+0	-54.0122E-9
19.8000E+0	-320.623E-12	0.00000E+0	-7.00000E+0	-54.0132E-9
19.9000E+0	-315.992E-12	0.00000E+0	-7.00000E+0	-54.0118E-9
20.0000E+0	-324.598E-12	0.00000E+0	-7.00000E+0	-54.0110E-9
20.1000E+0	-323.423E-12	0.00000E+0	-7.00000E+0	-54.0103E-9
20.2000E+0	-322.172E-12	0.00000E+0	-7.00000E+0	-54.0088E-9
20.3000E+0	-332.280E-12	0.00000E+0	-7.00000E+0	-54.0100E-9
20.4000E+0	-333.417E-12	0.00000E+0	-7.00000E+0	-54.0105E-9
20.5000E+0	-332.219E-12	0.00000E+0	-7.00000E+0	-54.0121E-9
20.6000E+0	-324.155E-12	0.00000E+0	-7.00000E+0	-54.0112E-9
20.7000E+0	-346.166E-12	0.00000E+0	-7.00000E+0	-54.0119E-9
20.8000E+0	-331.197E-12	0.00000E+0	-7.00000E+0	-54.0102E-9
20.9000E+0	-338.682E-12	0.00000E+0	-7.00000E+0	-54.0106E-9
21.0000E+0	-320.058E-12	0.00000E+0	-7.00000E+0	-54.0111E-9
21.1000E+0	-323.087E-12	0.00000E+0	-7.00000E+0	-54.0118E-9
21.2000E+0	-327.710E-12	0.00000E+0	-7.00000E+0	-54.0121E-9
21.3000E+0	-337.819E-12	0.00000E+0	-7.00000E+0	-54.0132E-9
21.4000E+0	-349.088E-12	0.00000E+0	-7.00000E+0	-54.0130E-9
21.5000E+0	-324.117E-12	0.00000E+0	-7.00000E+0	-54.0081E-9
21.6000E+0	-343.129E-12	0.00000E+0	-7.00000E+0	-54.0104E-9
21.7000E+0	-330.793E-12	0.00000E+0	-7.00000E+0	-54.0080E-9
21.8000E+0	-323.903E-12	0.00000E+0	-7.00000E+0	-54.0088E-9
21.9000E+0	-333.646E-12	0.00000E+0	-7.00000E+0	-54.0105E-9
22.0000E+0	-332.280E-12	0.00000E+0	-7.00000E+0	-54.0117E-9
22.1000E+0	-317.464E-12	0.00000E+0	-7.00000E+0	-54.0118E-9
22.2000E+0	-334.844E-12	0.00000E+0	-7.00000E+0	-54.0117E-9
22.3000E+0	-336.995E-12	0.00000E+0	-7.00000E+0	-54.0105E-9
22.4000E+0	-327.184E-12	0.00000E+0	-7.00000E+0	-54.0078E-9
22.5000E+0	-320.745E-12	0.00000E+0	-7.00000E+0	-54.0081E-9
22.6000E+0	-322.873E-12	0.00000E+0	-7.00000E+0	-54.0100E-9
22.7001E+0	-329.641E-12	0.00000E+0	-7.00000E+0	-54.0116E-9
22.8001E+0	-319.997E-12	0.00000E+0	-7.00000E+0	-54.0089E-9
22.9001E+0	-328.718E-12	0.00000E+0	-7.00000E+0	-54.0103E-9
23.0001E+0	-317.960E-12	0.00000E+0	-7.00000E+0	-54.0077E-9
23.1001E+0	-331.708E-12	0.00000E+0	-7.00000E+0	-54.0087E-9
23.2001E+0	-320.234E-12	0.00000E+0	-7.00000E+0	-54.0078E-9
23.3001E+0	-327.596E-12	0.00000E+0	-7.00000E+0	-54.0093E-9
23.4001E+0	-321.073E-12	0.00000E+0	-7.00000E+0	-54.0102E-9
23.5001E+0	-326.803E-12	0.00000E+0	-7.00000E+0	-54.0096E-9
23.6001E+0	-336.187E-12	0.00000E+0	-7.00000E+0	-54.0067E-9
23.7001E+0	-316.839E-12	0.00000E+0	-7.00000E+0	-54.0070E-9
23.8001E+0	-336.179E-12	0.00000E+0	-7.00000E+0	-54.0066E-9
23.9001E+0	-320.890E-12	0.00000E+0	-7.00000E+0	-54.0076E-9
24.0001E+0	-323.102E-12	0.00000E+0	-7.00000E+0	-54.0080E-9
24.1001E+0	-320.447E-12	0.00000E+0	-7.00000E+0	-54.0091E-9
24.2001E+0	-321.348E-12	0.00000E+0	-7.00000E+0	-54.0080E-9
24.3001E+0	-321.065E-12	0.00000E+0	-7.00000E+0	-54.0076E-9
24.4001E+0	-317.563E-12	0.00000E+0	-7.00000E+0	-54.0066E-9
24.5001E+0	-329.297E-12	0.00000E+0	-7.00000E+0	-54.0071E-9
24.6001E+0	-335.492E-12	0.00000E+0	-7.00000E+0	-54.0069E-9
24.7001E+0	-322.698E-12	0.00000E+0	-7.00000E+0	-54.0074E-9
24.8001E+0	-322.141E-12	0.00000E+0	-7.00000E+0	-54.0063E-9
24.9001E+0	-317.365E-12	0.00000E+0	-7.00000E+0	-54.0068E-9
25.0001E+0	-334.852E-12	0.00000E+0	-7.00000E+0	-54.0101E-9
25.1001E+0	-337.324E-12	0.00000E+0	-7.00000E+0	-54.0084E-9
25.2001E+0	-327.741E-12	0.00000E+0	-7.00000E+0	-54.0075E-9
25.3001E+0	-329.252E-12	0.00000E+0	-7.00000E+0	-54.0043E-9
25.4001E+0	-320.569E-12	0.00000E+0	-7.00000E+0	-54.0063E-9
25.5001E+0	-331.312E-12	0.00000E+0	-7.00000E+0	-54.0082E-9
25.6001E+0	-328.328E-12	0.00000E+0	-7.00000E+0	-54.0080E-9
25.7001E+0	-323.942E-12	0.00000E+0	-7.00000E+0	-54.0074E-9
25.8001E+0	-332.532E-12	0.00000E+0	-7.00000E+0	-54.0097E-9
25.9001E+0	-327.459E-12	0.00000E+0	-7.00000E+0	-54.0077E-9
26.0001E+0	-328.679E-12	0.00000E+0	-7.00000E+0	-54.0076E-9
26.1001E+0	-348.188E-12	0.00000E+0	-7.00000E+0	-54.0100E-9
26.2001E+0	-327.154E-12	0.00000E+0	-7.00000E+0	-54.0109E-9
26.3001E+0	-327.161E-12	0.00000E+0	-7.00000E+0	-54.0117E-9
26.4001E+0	-327.054E-12	0.00000E+0	-7.00000E+0	-54.0062E-9
26.5001E+0	-321.576E-12	0.00000E+0	-7.00000E+0	-54.0066E-9
26.6001E+0	-321.111E-12	0.00000E+0	-7.00000E+0	-54.0037E-9
26.7001E+0	-319.349E-12	0.00000E+0	-7.00000E+0	-54.0112E-9
26.8001E+0	-349.836E-12	0.00000E+0	-7.00000E+0	-54.0152E-9
26.9001E+0	-321.439E-12	0.00000E+0	-7.00000E+0	-54.0151E-9
27.0001E+0	-316.488E-12	0.00000E+0	-7.00000E+0	-54.0139E-9
27.1001E+0	-326.436E-12	0.00000E+0	-7.00000E+0	-54.0109E-9
27.2001E+0	-326.574E-12	0.00000E+0	-7.00000E+0	-54.0087E-9
27.3001E+0	-325.216E-12	0.00000E+0	-7.00000E+0	-54.0066E-9
27.4001E+0	-337.041E-12	0.00000E+0	-7.00000E+0	-54.0077E-9
27.5001E+0	-328.199E-12	0.00000E+0	-7.00000E+0	-54.0078E-9
27.6001E+0	-328.725E-12	0.00000E+0	-7.00000E+0	-54.0114E-9
27.7001E+0	-318.364E-12	0.00000E+0	-7.00000E+0	-54.0156E-9
27.8001E+0	-328.718E-12	0.00000E+0	-7.00000E+0	-54.0144E-9
27.9001E+0	-326.948E-12	0.00000E+0	-7.00000E+0	-54.0132E-9
28.0001E+0	-338.201E-12	0.00000E+0	-7.00000E+0	-54.0137E-9
28.1001E+0	-323.690E-12	0.00000E+0	-7.00000E+0	-54.0108E-9
28.2001E+0	-324.842E-12	0.00000E+0	-7.00000E+0	-54.0093E-9
28.3001E+0	-322.408E-12	0.00000E+0	-7.00000E+0	-54.0077E-9
28.4001E+0	-333.677E-12	0.00000E+0	-7.00000E+0	-54.0042E-9
28.5001E+0	-333.631E-12	0.00000E+0	-7.00000E+0	-54.0051E-9
28.6001E+0	-329.954E-12	0.00000E+0	-7.00000E+0	-54.0048E-9
28.7001E+0	-327.596E-12	0.00000E+0	-7.00000E+0	-54.0001E-9
28.8001E+0	-328.245E-12	0.00000E+0	-7.00000E+0	-54.0017E-9
28.9001E+0	-324.132E-12	0.00000E+0	-7.00000E+0	-54.0026E-9
29.0001E+0	-315.084E-12	0.00000E+0	-7.00000E+0	-54.0045E-9
29.1001E+0	-327.382E-12	0.00000E+0	-7.00000E+0	-54.0046E-9
29.2001E+0	-327.146E-12	0.00000E+0	-7.00000E+0	-54.0045E-9
