Experiment	LongTerm Data	
Date	05.01.2016 16:35:53	
User		
Base Timestamp	2016-01-05 15:36:27.26	

[DATA]
Rel. Time (s)	Z (m)
201.001E+0	29.0882E-9
202.000E+0	29.2000E-9
203.001E+0	29.1004E-9
204.000E+0	29.2124E-9
205.001E+0	29.1189E-9
206.000E+0	29.2095E-9
207.001E+0	29.1284E-9
208.000E+0	29.2223E-9
209.002E+0	29.1359E-9
210.000E+0	29.2191E-9
211.001E+0	29.1377E-9
212.000E+0	29.2244E-9
213.002E+0	29.1453E-9
214.000E+0	29.2329E-9
215.001E+0	29.1618E-9
216.000E+0	29.2345E-9
217.001E+0	29.1529E-9
217.999E+0	29.2335E-9
219.001E+0	29.1681E-9
220.000E+0	29.2499E-9
221.000E+0	29.1795E-9
222.000E+0	29.2469E-9
223.000E+0	29.1893E-9
224.000E+0	29.2528E-9
225.000E+0	29.2089E-9
226.000E+0	29.2708E-9
227.000E+0	29.2141E-9
228.000E+0	29.2677E-9
229.000E+0	29.2118E-9
230.000E+0	29.2759E-9
231.000E+0	29.2209E-9
232.000E+0	29.2884E-9
233.000E+0	29.2461E-9
234.000E+0	29.3026E-9
235.000E+0	29.2579E-9
235.999E+0	29.3138E-9
237.001E+0	29.2748E-9
238.001E+0	29.3254E-9
239.001E+0	29.2883E-9
240.000E+0	29.3344E-9
241.002E+0	29.3016E-9
242.004E+0	29.3492E-9
243.003E+0	29.3096E-9
244.000E+0	29.3601E-9
245.006E+0	29.3224E-9
246.001E+0	29.3677E-9
247.005E+0	29.3280E-9
248.004E+0	29.3825E-9
249.004E+0	29.3296E-9
250.003E+0	29.3956E-9
251.008E+0	29.3459E-9
252.000E+0	29.3971E-9
253.005E+0	29.3571E-9
254.000E+0	29.4046E-9
255.006E+0	29.3713E-9
256.000E+0	29.4132E-9
257.007E+0	29.3871E-9
258.000E+0	29.4206E-9
259.019E+0	29.4075E-9
260.012E+0	29.4318E-9
261.009E+0	29.4169E-9
262.000E+0	29.4320E-9
263.008E+0	29.4274E-9
264.000E+0	29.4273E-9
265.009E+0	29.4344E-9
266.000E+0	29.4397E-9
267.003E+0	29.4474E-9
268.000E+0	29.4461E-9
269.006E+0	29.4511E-9
270.000E+0	29.4518E-9
271.000E+0	29.4529E-9
272.000E+0	29.4518E-9
273.000E+0	29.4564E-9
274.000E+0	29.4471E-9
275.003E+0	29.4511E-9
276.000E+0	29.4534E-9
277.003E+0	29.4553E-9
278.000E+0	29.4599E-9
279.001E+0	29.4573E-9
280.000E+0	29.4650E-9
281.001E+0	29.4551E-9
282.000E+0	29.4812E-9
283.002E+0	29.4574E-9
284.000E+0	29.4832E-9
285.002E+0	29.4624E-9
286.000E+0	29.4829E-9
287.002E+0	29.4614E-9
287.999E+0	29.4968E-9
289.002E+0	29.4549E-9
290.000E+0	29.4737E-9
291.002E+0	29.4513E-9
292.000E+0	29.4727E-9
293.002E+0	29.4604E-9
294.000E+0	29.4784E-9
295.002E+0	29.4582E-9
296.000E+0	29.4764E-9
297.002E+0	29.4495E-9
298.000E+0	29.4738E-9
299.002E+0	29.4446E-9
300.000E+0	29.4759E-9
301.002E+0	29.4391E-9
302.000E+0	29.4723E-9
303.002E+0	29.4324E-9
304.000E+0	29.4708E-9
305.002E+0	29.4275E-9
306.000E+0	29.4689E-9
307.001E+0	29.4256E-9
308.000E+0	29.4634E-9
309.002E+0	29.4212E-9
310.000E+0	29.4577E-9
311.000E+0	29.4193E-9
312.000E+0	29.4592E-9
313.000E+0	29.4182E-9
314.000E+0	29.4573E-9
315.000E+0	29.4257E-9
316.000E+0	29.4606E-9
317.000E+0	29.4221E-9
318.000E+0	29.4570E-9
319.000E+0	29.4172E-9
320.000E+0	29.4600E-9
321.000E+0	29.4182E-9
322.000E+0	29.4564E-9
322.999E+0	29.4220E-9
324.000E+0	29.4579E-9
325.002E+0	29.4279E-9
326.000E+0	29.4584E-9
327.002E+0	29.4294E-9
328.000E+0	29.4597E-9
329.004E+0	29.4341E-9
330.000E+0	29.4673E-9
331.003E+0	29.4360E-9
332.002E+0	29.4744E-9
333.005E+0	29.4427E-9
334.001E+0	29.4782E-9
335.006E+0	29.4466E-9
336.002E+0	29.4821E-9
337.006E+0	29.4468E-9
338.003E+0	29.4865E-9
339.005E+0	29.4506E-9
340.000E+0	29.4945E-9
341.005E+0	29.4412E-9
342.000E+0	29.4979E-9
343.005E+0	29.4394E-9
344.000E+0	29.5080E-9
345.006E+0	29.4431E-9
346.000E+0	29.5094E-9
347.007E+0	29.4394E-9
348.000E+0	29.5200E-9
349.006E+0	29.4399E-9
350.000E+0	29.5255E-9
351.006E+0	29.4410E-9
352.000E+0	29.5382E-9
353.005E+0	29.4506E-9
354.000E+0	29.5423E-9
355.005E+0	29.4544E-9
356.000E+0	29.5461E-9
357.002E+0	29.4594E-9
357.999E+0	29.5493E-9
359.002E+0	29.4568E-9
360.000E+0	29.5517E-9
361.002E+0	29.4551E-9
362.000E+0	29.5542E-9
363.002E+0	29.4524E-9
364.000E+0	29.5542E-9
365.002E+0	29.4523E-9
366.000E+0	29.5543E-9
367.002E+0	29.4509E-9
368.000E+0	29.5573E-9
369.002E+0	29.4514E-9
370.000E+0	29.5564E-9
371.001E+0	29.4536E-9
372.000E+0	29.5564E-9
373.001E+0	29.4556E-9
374.000E+0	29.5542E-9
375.002E+0	29.4564E-9
376.000E+0	29.5488E-9
377.002E+0	29.4576E-9
378.000E+0	29.5425E-9
379.002E+0	29.4573E-9
380.000E+0	29.5357E-9
381.002E+0	29.4594E-9
382.000E+0	29.5327E-9
383.002E+0	29.4599E-9
384.000E+0	29.5305E-9
385.001E+0	29.4638E-9
386.000E+0	29.5278E-9
387.002E+0	29.4678E-9
388.000E+0	29.5216E-9
389.002E+0	29.4716E-9
390.000E+0	29.5140E-9
391.002E+0	29.4780E-9
392.000E+0	29.5037E-9
393.001E+0	29.4788E-9
394.003E+0	29.4945E-9
395.004E+0	29.4864E-9
396.000E+0	29.4888E-9
397.006E+0	29.4851E-9
398.000E+0	29.4715E-9
399.000E+0	29.4847E-9
400.000E+0	29.4603E-9
401.000E+0	29.4862E-9
402.000E+0	29.4520E-9
403.000E+0	29.4932E-9
404.000E+0	29.4431E-9
405.000E+0	29.4917E-9
406.000E+0	29.4364E-9
407.000E+0	29.4925E-9
408.000E+0	29.4323E-9
409.000E+0	29.4925E-9
410.000E+0	29.4315E-9
411.001E+0	29.4951E-9
412.001E+0	29.4318E-9
413.000E+0	29.4959E-9
414.001E+0	29.4266E-9
415.001E+0	29.5035E-9
416.000E+0	29.4282E-9
417.001E+0	29.5013E-9
418.002E+0	29.4258E-9
419.001E+0	29.5008E-9
420.003E+0	29.4288E-9
421.000E+0	29.5036E-9
422.000E+0	29.4252E-9
423.000E+0	29.4987E-9
424.000E+0	29.4297E-9
425.000E+0	29.5003E-9
426.000E+0	29.4335E-9
427.000E+0	29.4950E-9
427.999E+0	29.4329E-9
429.000E+0	29.4972E-9
430.000E+0	29.4302E-9
431.000E+0	29.4981E-9
432.000E+0	29.4285E-9
433.000E+0	29.5015E-9
434.000E+0	29.4265E-9
435.000E+0	29.5117E-9
436.002E+0	29.4290E-9
437.000E+0	29.5185E-9
438.000E+0	29.4263E-9
439.000E+0	29.5204E-9
440.000E+0	29.4197E-9
441.000E+0	29.5159E-9
442.000E+0	29.4215E-9
443.000E+0	29.5230E-9
444.000E+0	29.4174E-9
445.000E+0	29.5238E-9
446.000E+0	29.4147E-9
447.000E+0	29.5225E-9
448.000E+0	29.4158E-9
449.000E+0	29.5211E-9
450.000E+0	29.4147E-9
451.000E+0	29.5151E-9
452.000E+0	29.4083E-9
453.000E+0	29.5102E-9
454.000E+0	29.4014E-9
