Experiment	CLAM-python-txt
Date	28/01/16 11:49
User	Danilo A. Zanin
Clam Mode	CAE
Pass Energy (eV)	100.0
Focus Mode	3
Focus Value	0.6
Integration Time (ms)	100.0
Loops	2
Channeltron Rear (V)	3600.0
Channeltron Front (V)	200.0
Comment	Header modified manually to use functions of nanonis

[DATA]
Energy [eV]	Counts	L1 [V]	L2 [V]	Ch_rear [V]	Ch_front [V]	H+ [V]	H- [V]	Retarder [V]
47.5	0	125.305	125.305	3752.5	152.5	71.3679245283	33.6320754717	52.5
47.75	0	125.9645	125.9645	3752.25	152.25	71.1179245283	33.3820754717	52.25
48.0	0	126.624	126.624	3752.0	152.0	70.8679245283	33.1320754717	52.0
48.25	0	127.2835	127.2835	3751.75	151.75	70.6179245283	32.8820754717	51.75
48.5	0	127.943	127.943	3751.5	151.5	70.3679245283	32.6320754717	51.5
48.75	0	128.6025	128.6025	3751.25	151.25	70.1179245283	32.3820754717	51.25
49.0	0	129.262	129.262	3751.0	151.0	69.8679245283	32.1320754717	51.0
49.25	0	129.9215	129.9215	3750.75	150.75	69.6179245283	31.8820754717	50.75
49.5	0	130.581	130.581	3750.5	150.5	69.3679245283	31.6320754717	50.5
49.75	0	131.2405	131.2405	3750.25	150.25	69.1179245283	31.3820754717	50.25
50.0	0	131.9	131.9	3750.0	150.0	68.8679245283	31.1320754717	50.0
50.25	0	132.5595	132.5595	3749.75	149.75	68.6179245283	30.8820754717	49.75
50.5	0	133.219	133.219	3749.5	149.5	68.3679245283	30.6320754717	49.5
50.75	0	133.8785	133.8785	3749.25	149.25	68.1179245283	30.3820754717	49.25
51.0	0	134.538	134.538	3749.0	149.0	67.8679245283	30.1320754717	49.0
51.25	0	135.1975	135.1975	3748.75	148.75	67.6179245283	29.8820754717	48.75
51.5	0	135.857	135.857	3748.5	148.5	67.3679245283	29.6320754717	48.5
51.75	0	136.5165	136.5165	3748.25	148.25	67.1179245283	29.3820754717	48.25
52.0	0	137.176	137.176	3748.0	148.0	66.8679245283	29.1320754717	48.0
52.25	0	137.8355	137.8355	3747.75	147.75	66.6179245283	28.8820754717	47.75
52.5	0	138.495	138.495	3747.5	147.5	66.3679245283	28.6320754717	47.5
52.75	0	139.1545	139.1545	3747.25	147.25	66.1179245283	28.3820754717	47.25
53.0	0	139.814	139.814	3747.0	147.0	65.8679245283	28.1320754717	47.0
53.25	0	140.4735	140.4735	3746.75	146.75	65.6179245283	27.8820754717	46.75
53.5	0	141.133	141.133	3746.5	146.5	65.3679245283	27.6320754717	46.5
53.75	0	141.7925	141.7925	3746.25	146.25	65.1179245283	27.3820754717	46.25
54.0	1	142.452	142.452	3746.0	146.0	64.8679245283	27.1320754717	46.0
54.25	0	143.1115	143.1115	3745.75	145.75	64.6179245283	26.8820754717	45.75
54.5	0	143.771	143.771	3745.5	145.5	64.3679245283	26.6320754717	45.5
54.75	0	144.4305	144.4305	3745.25	145.25	64.1179245283	26.3820754717	45.25
55.0	0	145.09	145.09	3745.0	145.0	63.8679245283	26.1320754717	45.0
55.25	1	145.7495	145.7495	3744.75	144.75	63.6179245283	25.8820754717	44.75
55.5	0	146.409	146.409	3744.5	144.5	63.3679245283	25.6320754717	44.5
55.75	1	147.0685	147.0685	3744.25	144.25	63.1179245283	25.3820754717	44.25
56.0	0	147.728	147.728	3744.0	144.0	62.8679245283	25.1320754717	44.0
56.25	0	148.3875	148.3875	3743.75	143.75	62.6179245283	24.8820754717	43.75
56.5	0	149.047	149.047	3743.5	143.5	62.3679245283	24.6320754717	43.5
56.75	0	149.7065	149.7065	3743.25	143.25	62.1179245283	24.3820754717	43.25
57.0	0	150.366	150.366	3743.0	143.0	61.8679245283	24.1320754717	43.0
57.25	0	151.0255	151.0255	3742.75	142.75	61.6179245283	23.8820754717	42.75
57.5	0	151.685	151.685	3742.5	142.5	61.3679245283	23.6320754717	42.5
57.75	0	152.3445	152.3445	3742.25	142.25	61.1179245283	23.3820754717	42.25
58.0	0	153.004	153.004	3742.0	142.0	60.8679245283	23.1320754717	42.0
58.25	0	153.6635	153.6635	3741.75	141.75	60.6179245283	22.8820754717	41.75
58.5	0	154.323	154.323	3741.5	141.5	60.3679245283	22.6320754717	41.5
58.75	0	154.9825	154.9825	3741.25	141.25	60.1179245283	22.3820754717	41.25
59.0	0	155.642	155.642	3741.0	141.0	59.8679245283	22.1320754717	41.0
59.25	0	156.3015	156.3015	3740.75	140.75	59.6179245283	21.8820754717	40.75
59.5	0	156.961	156.961	3740.5	140.5	59.3679245283	21.6320754717	40.5
59.75	0	157.6205	157.6205	3740.25	140.25	59.1179245283	21.3820754717	40.25
60.0	0	158.28	158.28	3740.0	140.0	58.8679245283	21.1320754717	40.0
60.25	0	158.9395	158.9395	3739.75	139.75	58.6179245283	20.8820754717	39.75
60.5	0	159.599	159.599	3739.5	139.5	58.3679245283	20.6320754717	39.5
60.75	0	160.2585	160.2585	3739.25	139.25	58.1179245283	20.3820754717	39.25
61.0	0	160.918	160.918	3739.0	139.0	57.8679245283	20.1320754717	39.0
61.25	0	161.5775	161.5775	3738.75	138.75	57.6179245283	19.8820754717	38.75
61.5	0	162.237	162.237	3738.5	138.5	57.3679245283	19.6320754717	38.5
61.75	0	162.8965	162.8965	3738.25	138.25	57.1179245283	19.3820754717	38.25
62.0	0	163.556	163.556	3738.0	138.0	56.8679245283	19.1320754717	38.0
62.25	0	164.2155	164.2155	3737.75	137.75	56.6179245283	18.8820754717	37.75
62.5	0	164.875	164.875	3737.5	137.5	56.3679245283	18.6320754717	37.5
62.75	0	165.5345	165.5345	3737.25	137.25	56.1179245283	18.3820754717	37.25
63.0	0	166.194	166.194	3737.0	137.0	55.8679245283	18.1320754717	37.0
63.25	0	166.8535	166.8535	3736.75	136.75	55.6179245283	17.8820754717	36.75
63.5	0	167.513	167.513	3736.5	136.5	55.3679245283	17.6320754717	36.5
63.75	0	168.1725	168.1725	3736.25	136.25	55.1179245283	17.3820754717	36.25
64.0	2	168.832	168.832	3736.0	136.0	54.8679245283	17.1320754717	36.0
64.25	0	169.4915	169.4915	3735.75	135.75	54.6179245283	16.8820754717	35.75
64.5	0	170.151	170.151	3735.5	135.5	54.3679245283	16.6320754717	35.5
64.75	0	170.8105	170.8105	3735.25	135.25	54.1179245283	16.3820754717	35.25
65.0	0	171.47	171.47	3735.0	135.0	53.8679245283	16.1320754717	35.0
65.25	1	172.1295	172.1295	3734.75	134.75	53.6179245283	15.8820754717	34.75
65.5	0	172.789	172.789	3734.5	134.5	53.3679245283	15.6320754717	34.5
65.75	0	173.4485	173.4485	3734.25	134.25	53.1179245283	15.3820754717	34.25
66.0	0	174.108	174.108	3734.0	134.0	52.8679245283	15.1320754717	34.0
66.25	0	174.7675	174.7675	3733.75	133.75	52.6179245283	14.8820754717	33.75
66.5	0	175.427	175.427	3733.5	133.5	52.3679245283	14.6320754717	33.5
66.75	0	176.0865	176.0865	3733.25	133.25	52.1179245283	14.3820754717	33.25
67.0	0	176.746	176.746	3733.0	133.0	51.8679245283	14.1320754717	33.0
67.25	0	177.4055	177.4055	3732.75	132.75	51.6179245283	13.8820754717	32.75
67.5	0	178.065	178.065	3732.5	132.5	51.3679245283	13.6320754717	32.5
